instance_path,n,m,category
/scratch/jt2chung/sat2020/bv-term-small-rw_206.smt2.cnf,7464,22451,sat2020
/scratch/jt2chung/sat2020/60-129673.cnf,31255,803497,sat2020
/scratch/jt2chung/sat2020/ctl_4291_567_6_unsat_pre.cnf,15232,134760,sat2020
/scratch/jt2chung/sat2020/tseitingrid7x165_shuffled.cnf,2310,9240,sat2020
/scratch/jt2chung/sat2020/170223547.cnf,322,1127,sat2020
/scratch/jt2chung/sat2020/b1904P3-8x8c11h0SAT.cnf,69644,377378,sat2020
/scratch/jt2chung/sat2020/abw-N-bcsstk07.mtx-w44.cnf,842520,7681710,sat2020
/scratch/jt2chung/sat2020/filter_iir_true-unreach-call.c.cnf,495025,2356343,sat2020
/scratch/jt2chung/sat2020/fermat-907547022132073.cnf,8716,48900,sat2020
/scratch/jt2chung/sat2020/170058143.cnf,320,1120,sat2020
/scratch/jt2chung/sat2020/abw-N-bcsstk07.mtx-w38.cnf,862680,7807050,sat2020
/scratch/jt2chung/sat2020/TT7F-34-24C.cnf,6545,871889,sat2020
/scratch/jt2chung/sat2020/rbcl_xits_08_UNSAT.cnf,1278,68055,sat2020
/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-12-wffvars-450-cryptocplx-40-overlap-2.cnf,1729,21718,sat2020
/scratch/jt2chung/sat2020/fermat-834855329100173267.cnf,12258,69476,sat2020
/scratch/jt2chung/sat2020/TT7F-33-25.cnf,5984,430632,sat2020
/scratch/jt2chung/sat2020/prime2209-84.cnf,101556,299208,sat2020
/scratch/jt2chung/sat2020/g2-hwmcc15deep-bobpcihm-k31.cnf,194793,540136,sat2020
/scratch/jt2chung/sat2020/apn-sbox6-cut4-helpbox26.cnf,137472,810924,sat2020
/scratch/jt2chung/sat2020/w19-20.1.cnf,11750,2079807,sat2020
/scratch/jt2chung/sat2020/w19-5.1.cnf,11949,1281557,sat2020
/scratch/jt2chung/sat2020/bv-term-small-rw_1220.smt2.cnf,7555,22724,sat2020
/scratch/jt2chung/sat2020/newpol36-4.cnf,4431775,14497549,sat2020
/scratch/jt2chung/sat2020/6s153.cnf,58951,165355,sat2020
/scratch/jt2chung/sat2020/rbsat-v2400c266431gyes7.cnf,2400,266431,sat2020
/scratch/jt2chung/sat2020/170222843.cnf,322,1127,sat2020
/scratch/jt2chung/sat2020/53-129696.cnf,31278,799027,sat2020
/scratch/jt2chung/sat2020/ps_300_311_20.cnf,485990,2375928,sat2020
/scratch/jt2chung/sat2020/battleship-27-54-sat.cnf,1458,19683,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter799_70_12.cnf,15954,88840,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter845_79_18.cnf,27146,163580,sat2020
/scratch/jt2chung/sat2020/TT7F-33-24A.cnf,5984,577080,sat2020
/scratch/jt2chung/sat2020/preimage_80r_490m_160h_seed_6.cnf,56108,224201,sat2020
/scratch/jt2chung/sat2020/size_4_5_5_i003_w31_r9.cnf,1938,7452,sat2020
/scratch/jt2chung/sat2020/TT7F-34-27.cnf,6545,360832,sat2020
/scratch/jt2chung/sat2020/b2005-p4-14x14c17h9-Ser5-0.cnf,132717,32247816,sat2020
/scratch/jt2chung/sat2020/vlsat2_39552_5878762.dimacs.cnf,39552,5878762,sat2020
/scratch/jt2chung/sat2020/Timetable_C_437_E_62_Cl_29_S_28.cnf,302158,1911422,sat2020
/scratch/jt2chung/sat2020/ps_300_301_30.cnf,470700,2304598,sat2020
/scratch/jt2chung/sat2020/4g_5color_168_100_02.cnf,168000,74808260,sat2020
/scratch/jt2chung/sat2020/fermat-770131695059117.cnf,8718,48906,sat2020
/scratch/jt2chung/sat2020/dislog_a13_x13_n23.cnf,16613,89470,sat2020
/scratch/jt2chung/sat2020/bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,970,5432,sat2020
/scratch/jt2chung/sat2020/w19-8.0.cnf,11782,1651191,sat2020
/scratch/jt2chung/sat2020/ls16-normalized.cnf.gz.CP3-cnfmiter.cnf,86357,338194,sat2020
/scratch/jt2chung/sat2020/mp1-squ_any_s09x07_c27_bail_UNS.cnf,368,1594,sat2020
/scratch/jt2chung/sat2020/01-integer-programming-5-10-100.cnf,93547,362222,sat2020
/scratch/jt2chung/sat2020/Steiner-405-71-bce.cnf,136080,74506,sat2020
/scratch/jt2chung/sat2020/g2-T83.2.1.cnf,3421205,11829226,sat2020
/scratch/jt2chung/sat2020/grain-53-80-0s0-seed-125-8-init-35.cnf,1849,27043,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-125-ext.xml.hg_4.cnf,145714,20230450,sat2020
/scratch/jt2chung/sat2020/harder-php-025-024.sat05-1191.reshuffled-07.cnf,600,7225,sat2020
/scratch/jt2chung/sat2020/baseballcover14with25.cnf,1404586,2809016,sat2020
/scratch/jt2chung/sat2020/4g_6color_182_100_02.cnf,218400,102002524,sat2020
/scratch/jt2chung/sat2020/schur-triples-7-90.cnf,260865,1158765,sat2020
/scratch/jt2chung/sat2020/ssAES_4-4-8_round_8-10_faultAt_8_fault_injections_2_seed_31944661.cnf,95816,313805,sat2020
/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf,1545,17584,sat2020
/scratch/jt2chung/sat2020/mp1-9_49.cnf,1458,280138,sat2020
/scratch/jt2chung/sat2020/contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf,900,71378,sat2020
/scratch/jt2chung/sat2020/preimage_80r_491m_160h_seed_391.cnf,56108,224202,sat2020
/scratch/jt2chung/sat2020/baseballcover15with25.cnf,1400400,2800657,sat2020
/scratch/jt2chung/sat2020/vlsat2_30744_3925645.dimacs.cnf,30744,3925645,sat2020
/scratch/jt2chung/sat2020/dislog_a14_x14_n24.cnf,22151,120226,sat2020
/scratch/jt2chung/sat2020/preimage_80r_492m_160h_seed_136.cnf,56108,224203,sat2020
/scratch/jt2chung/sat2020/mrpp_8x8#24_14.cnf,12662,101072,sat2020
/scratch/jt2chung/sat2020/size_5_5_5_i003_r12.cnf,3220,12439,sat2020
/scratch/jt2chung/sat2020/size_5_5_5_i092_r12.cnf,3220,12439,sat2020
/scratch/jt2chung/sat2020/170105432.cnf,320,1120,sat2020
/scratch/jt2chung/sat2020/170059081.cnf,320,1120,sat2020
/scratch/jt2chung/sat2020/ncc_none_3001_7_3_3_1_31_435991723.cnf,1598491,5730661,sat2020
/scratch/jt2chung/sat2020/PRESENT_round_1-32_faultAt_30_fault_injections_10_seed_1579630418.cnf,29784,94604,sat2020
/scratch/jt2chung/sat2020/ncc_none_3047_7_3_3_1_0_1.cnf,1622914,5818377,sat2020
/scratch/jt2chung/sat2020/4g_5color_166_100_02.cnf,166000,73351130,sat2020
/scratch/jt2chung/sat2020/size_5_5_5_i041_r12.cnf,3220,12439,sat2020
/scratch/jt2chung/sat2020/f6bidw.cnf,191101,566854,sat2020
/scratch/jt2chung/sat2020/vlsat2_57038_10572502.dimacs.cnf,57038,10572502,sat2020
/scratch/jt2chung/sat2020/size_4_5_5_i037_w31_r9.cnf,1938,7452,sat2020
/scratch/jt2chung/sat2020/VanDerWaerden_2-3-32_1006.cnf,1006,268330,sat2020
/scratch/jt2chung/sat2020/full-bg-gb-9-ce.cnf,31410,136988,sat2020
/scratch/jt2chung/sat2020/Timetable_C_331_E_45_Cl_22_S_26.cnf,235540,1384506,sat2020
/scratch/jt2chung/sat2020/sted1_0x0_n438-636.cnf,58495,471361,sat2020
/scratch/jt2chung/sat2020/lang23.cnf.gz.CP3-cnfmiter.cnf,171558,684664,sat2020
/scratch/jt2chung/sat2020/fermat-931960058139995587.cnf,12257,69473,sat2020
/scratch/jt2chung/sat2020/full-bf-ga-6-ce.cnf,9654,41468,sat2020
/scratch/jt2chung/sat2020/ncc_none_7047_6_3_3_0_0_420.cnf,1484350,5359707,sat2020
/scratch/jt2chung/sat2020/ncc_none_5047_6_3_3_0_0_41.cnf,1063076,3838577,sat2020
/scratch/jt2chung/sat2020/4g_6color_366_060_06.cnf,49848,5782906,sat2020
/scratch/jt2chung/sat2020/g2-hwmcc15deep-6s33-k34.cnf,24952,72572,sat2020
/scratch/jt2chung/sat2020/battleship-24-47-sat.cnf,1128,13548,sat2020
/scratch/jt2chung/sat2020/abw-R-dwt__503.mtx-w64.cnf,1174505,7816586,sat2020
/scratch/jt2chung/sat2020/sted6_0x0-135.cnf,1953,48918,sat2020
/scratch/jt2chung/sat2020/preimage_80r_495m_160h_seed_379.cnf,56108,224206,sat2020
/scratch/jt2chung/sat2020/Steiner-27-10-bce.cnf,513,460,sat2020
/scratch/jt2chung/sat2020/size_5_5_5_i235_r12.cnf,3220,12439,sat2020
/scratch/jt2chung/sat2020/170058440.cnf,320,1120,sat2020
/scratch/jt2chung/sat2020/rbsat-v2400c266431gyes6.cnf,2400,266431,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter799_70_13.cnf,15954,88840,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter845_79_19.cnf,27146,163580,sat2020
/scratch/jt2chung/sat2020/6g_6color_366_040_04.cnf,77328,6377604,sat2020
/scratch/jt2chung/sat2020/Steiner-9-5-bce.cnf,54,58,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter454_70_11.cnf,11864,61400,sat2020
/scratch/jt2chung/sat2020/TT7F-34-26.cnf,6545,504960,sat2020
/scratch/jt2chung/sat2020/53-131174.cnf,31617,815861,sat2020
/scratch/jt2chung/sat2020/sted2_0x0_n219-342.cnf,24624,212761,sat2020
/scratch/jt2chung/sat2020/4g_5color_170_050_05.cnf,27200,2462835,sat2020
/scratch/jt2chung/sat2020/Timetable_C_466_E_50_Cl_31_S_28.cnf,310128,1984214,sat2020
/scratch/jt2chung/sat2020/ps_300_322_20.cnf,504879,2475751,sat2020
/scratch/jt2chung/sat2020/size_5_5_5_i058_r12.cnf,3220,12439,sat2020
/scratch/jt2chung/sat2020/ps_200_305_70.cnf,318296,1560870,sat2020
/scratch/jt2chung/sat2020/homer17.shuffled.cnf,286,1742,sat2020
/scratch/jt2chung/sat2020/baseballcover13with25_and1positions.cnf,1408772,2817396,sat2020
/scratch/jt2chung/sat2020/w19-20.0.cnf,11750,2079807,sat2020
/scratch/jt2chung/sat2020/uum12.smt2.cnf,4138,11015,sat2020
/scratch/jt2chung/sat2020/preimage_80r_491m_160h_seed_7.cnf,56108,224202,sat2020
/scratch/jt2chung/sat2020/b2005-p4-12x12c10h7-Ser4-0.cnf,52608,5187118,sat2020
/scratch/jt2chung/sat2020/newpol34-4.cnf,3750099,12267137,sat2020
/scratch/jt2chung/sat2020/stable-300-0.1-20-98765432130020.cnf,300,17540,sat2020
/scratch/jt2chung/sat2020/rbsat-v2640c305320gyes10.cnf,2640,305320,sat2020
/scratch/jt2chung/sat2020/58-134003.cnf,31263,799432,sat2020
/scratch/jt2chung/sat2020/full-bf-ga-9-ce.cnf,31410,136988,sat2020
/scratch/jt2chung/sat2020/ncc_none_5047_6_3_3_3_0_435991723.cnf,1063061,3838542,sat2020
/scratch/jt2chung/sat2020/TT7F-34-24B.cnf,6545,871838,sat2020
/scratch/jt2chung/sat2020/mod2c-rand3bip-sat-220-2.sat05-2489.reshuffled-07.cnf,311,2200,sat2020
/scratch/jt2chung/sat2020/TT7F-34-24E.cnf,6545,874111,sat2020
/scratch/jt2chung/sat2020/baseballcover13with25_and3positions.cnf,3572612,7145097,sat2020
/scratch/jt2chung/sat2020/full-bg-gb-6-ce.cnf,9654,41468,sat2020
/scratch/jt2chung/sat2020/cz-alt-3-7.cnf,12145,108383,sat2020
/scratch/jt2chung/sat2020/size_5_5_5_i131_r12.cnf,3220,12439,sat2020
/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-8-wffvars-450-cryptocplx-40-overlap-2.cnf,1729,21718,sat2020
/scratch/jt2chung/sat2020/baseballcover13with25.cnf,1408772,2817375,sat2020
/scratch/jt2chung/sat2020/ncc_none_21015_5_3_3_0_0_11.cnf,1694511,5959122,sat2020
/scratch/jt2chung/sat2020/170104584.cnf,320,1120,sat2020
/scratch/jt2chung/sat2020/velev-pipe-uns-1.0-9.cnf,49112,2317839,sat2020
/scratch/jt2chung/sat2020/ccp-s8-facto4.cnf,1504,35656,sat2020
/scratch/jt2chung/sat2020/ssAES_4-4-8_round_7-10_faultAt_8_fault_injections_2_seed_1579630418.cnf,108504,355662,sat2020
/scratch/jt2chung/sat2020/6g_5color_164_100_01.cnf,256800,127160375,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter249_74_10.cnf,25216,148590,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-149-ext.xml.hg_4.cnf,145714,20230450,sat2020
/scratch/jt2chung/sat2020/simon03:sat02bis:k2fix_gr_2pinvar_w8.used-as.sat04-349.cnf,3771,270136,sat2020
/scratch/jt2chung/sat2020/TT7F-33-24C.cnf,5984,575394,sat2020
/scratch/jt2chung/sat2020/full-bg-gb-8-ce.cnf,22264,96728,sat2020
/scratch/jt2chung/sat2020/VanDerWaerden_2-3-16_238.cnf,238,15812,sat2020
/scratch/jt2chung/sat2020/preimage_80r_490m_160h_seed_150.cnf,56108,224201,sat2020
/scratch/jt2chung/sat2020/170055892.cnf,320,1120,sat2020
/scratch/jt2chung/sat2020/TT7F-34-25.cnf,6545,675706,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter454_70_12.cnf,11864,61400,sat2020
/scratch/jt2chung/sat2020/full-bf-ga-7-ce.cnf,15092,65248,sat2020
/scratch/jt2chung/sat2020/53-131674.cnf,32077,839423,sat2020
/scratch/jt2chung/sat2020/w19-2.0.cnf,11782,1651209,sat2020
/scratch/jt2chung/sat2020/size_4_5_5_i031_w31_r9.cnf,1938,7452,sat2020
/scratch/jt2chung/sat2020/preimage_80r_493m_160h_seed_457.cnf,56108,224204,sat2020
/scratch/jt2chung/sat2020/w16-5.cnf,10638,192791,sat2020
/scratch/jt2chung/sat2020/newpol29-4.cnf,2359369,7716887,sat2020
/scratch/jt2chung/sat2020/TT7F-33-24D.cnf,5984,577080,sat2020
/scratch/jt2chung/sat2020/newpol4-6.cnf,20133,64129,sat2020
/scratch/jt2chung/sat2020/6g_5color_170_030_04.cnf,17550,621270,sat2020
/scratch/jt2chung/sat2020/170225515.cnf,322,1127,sat2020
/scratch/jt2chung/sat2020/size_5_5_5_i260_r12.cnf,3220,12439,sat2020
/scratch/jt2chung/sat2020/sted3_0x1e3-147.cnf,3352,66628,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-132-ext.xml.hg_9.cnf,224202,23151510,sat2020
/scratch/jt2chung/sat2020/crafted_n12_d6_c4_num9.cnf,56064,15834000,sat2020
/scratch/jt2chung/sat2020/g2-T85.2.1.cnf,3399116,11752598,sat2020
/scratch/jt2chung/sat2020/problem_21.smt2.cnf,7119,21151,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-097-ext.xml.hg_4.cnf,131439,16847303,sat2020
/scratch/jt2chung/sat2020/Timetable_C_181_E_34_Cl_12_S_6.cnf,111493,418427,sat2020
/scratch/jt2chung/sat2020/vlsat2_16676_1598591.dimacs.cnf,16676,1598591,sat2020
/scratch/jt2chung/sat2020/crafted_n11_d6_c4_num19.cnf,47888,12696716,sat2020
/scratch/jt2chung/sat2020/bv-term-small-rw_350.smt2.cnf,7407,22279,sat2020
/scratch/jt2chung/sat2020/newpol6-7.cnf,70134,223345,sat2020
/scratch/jt2chung/sat2020/preimage_80r_491m_160h_seed_71.cnf,56108,224202,sat2020
/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-132-wffvars-500-cryptocplx-31-overlap-2.cnf,1545,17584,sat2020
/scratch/jt2chung/sat2020/abw-O-impcol_d.mtx-w101.cnf,826625,3689950,sat2020
/scratch/jt2chung/sat2020/iffyInterleavedModMult-8.smt2.cnf,4264,13238,sat2020
/scratch/jt2chung/sat2020/ncc_none_2_19_5_3_1_0_435991723.cnf,5242990,18874339,sat2020
/scratch/jt2chung/sat2020/bv-term-small-rw_503.smt2.cnf,7825,23562,sat2020
/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-115-wffvars-500-cryptocplx-31-overlap-2.cnf,1545,17584,sat2020
/scratch/jt2chung/sat2020/Steiner-729-112-bce.cnf,451251,226267,sat2020
/scratch/jt2chung/sat2020/LABS_n071_goal001-sc2013.cnf,189982,384898,sat2020
/scratch/jt2chung/sat2020/LABS_n038_goal002.cnf,30446,62245,sat2020
/scratch/jt2chung/sat2020/ps_200_306_70.cnf,319295,1565263,sat2020
/scratch/jt2chung/sat2020/ncc_none_2_17_4_3_0_0_435991723.cnf,1835101,6291414,sat2020
/scratch/jt2chung/sat2020/53-131587.cnf,31983,834735,sat2020
/scratch/jt2chung/sat2020/53-131220.cnf,31623,816818,sat2020
/scratch/jt2chung/sat2020/mm-2x3-8-8-sb.1.sat05-475.reshuffled-07.cnf,2326,80891,sat2020
/scratch/jt2chung/sat2020/6s20.cnf,61555,183916,sat2020
/scratch/jt2chung/sat2020/Steiner-45-16-bce.cnf,1395,1261,sat2020
/scratch/jt2chung/sat2020/Steiner-15-7-bce.cnf,150,153,sat2020
/scratch/jt2chung/sat2020/w15.cnf,5625,79254,sat2020
/scratch/jt2chung/sat2020/ncc_none_2_18_8_3_1_0_435991723.cnf,1048686,4718581,sat2020
/scratch/jt2chung/sat2020/baseballcover11with25_and5positions.cnf,3567460,7134809,sat2020
/scratch/jt2chung/sat2020/49-132779.cnf,31504,809232,sat2020
/scratch/jt2chung/sat2020/atco_enc2_opt2_05_9-sc2014.cnf,14912,390488,sat2020
/scratch/jt2chung/sat2020/baseballcover12with24_and2positions.cnf,3583560,7166959,sat2020
/scratch/jt2chung/sat2020/size_4_5_5_i000_w31_r9.cnf,1938,7452,sat2020
/scratch/jt2chung/sat2020/Kakuro-easy-126-ext.xml.hg_7.cnf,200515,22519539,sat2020
/scratch/jt2chung/sat2020/22930-0426-195.smt2.cnf,5420,15979,sat2020
/scratch/jt2chung/sat2020/Steiner-135-33-bce.cnf,14040,9711,sat2020
/scratch/jt2chung/sat2020/DLTM_twitter634_77_14.cnf,19830,118322,sat2020
/scratch/jt2chung/sat2020/ssp-0.046166496845693274.cnf,93880,402018,sat2020
/scratch/jt2chung/sat2020/mrpp_8x8#16_12.cnf,10790,88870,sat2020
/scratch/jt2chung/sat2020/fclqcolor-18-14-11.cnf.gz.CP3-cnfmiter.cnf,47229,225228,sat2020
/scratch/jt2chung/sat2020/hcp_CP16_16.cnf,77824,283974,sat2020
/scratch/jt2chung/sat2020/59-129706.cnf,31294,802297,sat2020
/scratch/jt2chung/sat2020/abw-K-dwt__234.mtx-w54.cnf,57447,176089,sat2020
/scratch/jt2chung/sat2020/w19-49.0.cnf,11782,1646251,sat2020
/scratch/jt2chung/sat2020/baseballcover12with22_and2positions.cnf,3583560,7166959,sat2020
/scratch/jt2chung/sat2020/combined-crypto1-wff-seed-121-wffvars-500-cryptocplx-31-overlap-2.cnf,1545,17584,sat2020
/scratch/jt2chung/sat2020/Steiner-81-21-bce.cnf,5022,3582,sat2020
/scratch/jt2chung/sat2020/post-cbmc-aes-ee-r2.cnf,268423,1575975,sat2020
/scratch/jt2chung/sat2020/fsf-300-354-2-2-3-2.23.opt.cnf,3486,8496,sat2020
/scratch/jt2chung/sat2020/170225812.cnf,322,1127,sat2020
/scratch/jt2chung/sat2020/01-integer-programming-20-30-40.cnf,891394,3518573,sat2020
/scratch/jt2chung/sat2020/hid-uns-enc-6-1-0-0-0-0-3251.cnf,1908,6232,sat2020
/scratch/jt2chung/sat2020/dislog_a12_x12_n22.cnf,18514,99760,sat2020
/scratch/jt2chung/sat2020/ex051_9-sc2018.cnf,51315,488836,sat2020
/scratch/jt2chung/sat2020/hid-uns-enc-6-1-0-0-0-0-26462.cnf,1908,6232,sat2020
/scratch/jt2chung/sat2020/bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30.cnf,978,5514,sat2020
/scratch/jt2chung/sat2020/frb59-26-1.used-as.sat04-891.cnf,1534,132295,sat2020
/scratch/jt2chung/sat2020/VanDerWaerden_pd_2-3-26_635.cnf,318,53475,sat2020
/scratch/jt2chung/sat2020/sgen4-unsat-89-1.cnf,89,188,sat2020
/scratch/jt2chung/sat2020/logistics-unsat-logistics-rotate-11t5.sat05-1141.reshuffled-07.cnf,7194,513601,sat2020
/scratch/jt2chung/sat2020/unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,456,15307,sat2020
/scratch/jt2chung/sat2020/ps_300_314_20.cnf,491387,2405007,sat2020
/scratch/jt2chung/sat2020/full-bg-gb-7-ce.cnf,15092,65248,sat2020
/scratch/jt2chung/sat2020/vlsat2_32480_4362044.dimacs.cnf,32480,4362044,sat2020
/scratch/jt2chung/sat2020/abw-I-ash85.mtx-w24.cnf,31705,131057,sat2020
/scratch/jt2chung/sat2020/bv-term-small-rw_848.smt2.cnf,7732,23284,sat2020
/scratch/jt2chung/sat2020/GreenTao_2-5-5_34308.cnf,34306,708168,sat2020
/scratch/jt2chung/sat2020/Timetable_C_241_E_45_Cl_16_S_14.cnf,163871,766479,sat2020
/scratch/jt2chung/sat2020/b1904P1-8x8c6h7SAT.cnf,63268,465503,sat2020
/scratch/jt2chung/sat2020/170059722.cnf,320,1120,sat2020
/scratch/jt2chung/sat2020/vlsat2_15440_1409906.dimacs.cnf,15440,1409906,sat2020
/scratch/jt2chung/sat2020/grain-53-80-0s0-seed-125-4-init-35.cnf,1854,27024,sat2020
/scratch/jt2chung/sat2020/hid-uns-enc-6-1-0-0-0-0-14492.cnf,1908,6232,sat2020
/scratch/jt2chung/sat2020/vlsat2_40170_5970608.dimacs.cnf,40170,5970608,sat2020
/scratch/jt2chung/sat2020/preimage_80r_491m_160h_seed_407.cnf,56108,224202,sat2020
/scratch/jt2chung/sat2020/Timetable_C_151_E_34_Cl_10_S_4.cnf,96359,336133,sat2020
